Ano,Jogo,Data,Time1,desc1,p1,p2,desc2,Time2,Pais,Estadio,tr1,tr2,pe1,pe2,Competição,Fase,peso,p_acu,percent
21,44,20/10/2022 16:00,Costa Rica,p2E,,,p3E,Alemanha,Qatar,Al Khor,,,,,Copa,3ª rodada,4,144,52.94%
21,45,21/10/2022 12:00,Portugal,p1H,,,p4H,Coréia do Sul,Qatar,Doha EdCity,,,,,Copa,3ª rodada,4,148,54.41%
21,46,21/10/2022 12:00,Gana,p2H,,,p3H,Uruguai,Qatar,Al Wakrah,,,,,Copa,3ª rodada,4,152,55.88%
21,47,21/10/2022 16:00,Brasil,p1G,,,p4G,Camarões,Qatar,Al Daayen,,,,,Copa,3ª rodada,4,156,57.35%
21,48,21/10/2022 16:00,Sérvia,p2G,,,p3G,Suiça,Qatar,Doha 974,,,,,Copa,3ª rodada,4,160,58.82%
21,49,22/10/2022 12:00,,1A,,,2B,,Qatar,Al Rayyan KI,,,,,Copa,8vas-de-final,6,166,61.03%
21,50,22/10/2022 16:00,,1C,,,2D,,Qatar,Al Rayyan ABA,,,,,Copa,8vas-de-final,6,172,63.24%
21,53,24/10/2022 12:00,,1E,,,2F,,Qatar,Al Wakrah,,,,,Copa,8vas-de-final,6,178,65.44%
21,54,24/10/2022 16:00,,1G,,,2H,,Qatar,Doha 974,,,,,Copa,8vas-de-final,6,184,67.65%
21,51,23/10/2022 12:00,,1B,,,2A,,Qatar,Al Khor,,,,,Copa,8vas-de-final,6,190,69.85%
21,52,23/10/2022 16:00,,1D,,,2C,,Qatar,Doha AT,,,,,Copa,8vas-de-final,6,196,72.06%
21,55,25/10/2022 12:00,,1F,,,2E,,Qatar,Doha EdCity,,,,,Copa,8vas-de-final,6,202,74.26%
21,56,25/10/2022 16:00,,1H,,,2G,,Qatar,Al Daayen,,,,,Copa,8vas-de-final,6,208,76.47%
21,57,28/10/2022 12:00,,w49,,,w50,,Qatar,Al Daayen,,,,,Copa,4as-de-final,7,215,79.04%
21,58,28/10/2022 16:00,,w53,,,w54,,Qatar,Doha EdCity,,,,,Copa,4as-de-final,7,222,81.62%
21,59,29/10/2022 12:00,,w51,,,w52,,Qatar,Al Khor,,,,,Copa,4as-de-final,7,229,84.19%
21,60,29/10/2022 16:00,,w55,,,w56,,Qatar,Doha AT,,,,,Copa,4as-de-final,7,236,86.76%
21,61,01/11/2022 16:00,,w57,,,w58,,Qatar,Al Daayen,,,,,Copa,Semi-final,8,244,89.71%
21,62,02/11/2022 16:00,,w59,,,w60,,Qatar,Al Khor,,,,,Copa,Semi-final,8,252,92.65%
21,63,05/11/2022 12:00,,p61,,,p62,,Qatar,Al Rayyan KI,,,,,Copa,D. 3º Lugar,8,260,95.59%
21,64,06/11/2022 12:00,,w61,,,w62,,Qatar,Al Daayen,,,,,Copa,Final,12,272,100.00%
